,NU_IDADE,TP_SEXO,TP_ESCOLA,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,acertos_mat
3755377,17,F,2,516.0,468.7,509.9,516.0,11
3757587,22,F,1,518.0,532.0,537.7,584.6,30
3761214,54,F,1,517.0,417.3,609.2,583.3,13
3761605,22,F,1,516.0,445.8,520.0,534.8,11
3777056,19,M,1,517.0,419.5,509.0,544.1,9
3777155,21,M,1,515.0,539.8,569.3,582.0,10
3777191,33,M,1,518.0,435.0,471.0,482.2,5
3783493,29,M,1,517.0,519.1,560.6,568.4,8
3789794,25,M,1,518.0,501.4,556.8,577.8,14
3793021,18,F,1,515.0,372.3,430.3,390.6,10
4113672,17,F,2,518.0,472.5,581.3,546.0,5
4115557,35,M,1,517.0,554.2,490.1,495.4,13
4118675,17,F,2,515.0,456.4,485.9,504.3,8
4124365,19,M,1,517.0,487.1,528.0,537.0,11
4128537,19,F,1,515.0,444.2,472.3,416.8,8
4133411,21,M,1,517.0,420.5,515.0,534.9,12
4133992,19,M,1,518.0,464.5,554.6,569.8,14
4140020,17,F,2,518.0,489.1,367.0,547.6,5
4143228,18,F,1,518.0,371.5,486.7,500.8,6
4151283,19,F,1,515.0,668.5,711.2,639.6,28
4152500,35,F,1,515.0,477.4,613.8,570.6,14
4307979,15,F,1,515.0,594.4,552.2,573.6,24
4313510,19,F,1,518.0,432.1,380.9,411.5,10
4319293,25,M,1,518.0,577.2,577.1,565.8,12
4319309,24,M,1,518.0,434.8,388.6,524.8,8
4320058,17,M,2,516.0,546.4,598.4,565.8,17
4320140,20,M,1,518.0,434.9,439.3,561.2,9
4320532,18,F,1,516.0,377.5,383.0,477.0,5
4321741,17,M,2,516.0,355.3,421.0,478.3,7
4323194,53,F,1,517.0,417.8,359.0,411.4,4
4323272,49,M,1,518.0,615.4,642.4,556.0,17
4324705,17,F,1,517.0,462.7,417.7,497.1,3
4325076,19,M,1,516.0,557.4,634.3,579.8,23
4328027,15,F,1,516.0,528.0,546.0,538.9,9
4334435,17,F,1,516.0,545.3,542.0,566.6,17
4343051,19,F,1,518.0,364.3,516.3,510.6,8
4762942,23,F,1,518.0,532.5,599.6,570.6,11
4812864,22,F,1,518.0,587.5,384.1,542.3,11
4815539,24,F,1,517.0,510.0,552.4,560.7,11
4821013,17,F,1,517.0,541.9,556.4,564.3,13
4822870,18,M,2,518.0,359.7,0.0,475.8,7
4827063,16,M,1,517.0,425.6,317.7,513.7,13
4827902,20,M,1,517.0,416.8,485.4,570.5,8
4831697,20,M,1,516.0,393.2,489.6,415.4,6
4832167,18,M,2,516.0,345.8,401.3,456.8,9
4839617,18,M,1,516.0,486.5,477.9,514.2,9
4842607,15,F,1,516.0,393.1,455.9,517.6,10
4850082,18,F,2,516.0,457.3,391.2,410.2,9
4852989,19,F,1,515.0,426.0,491.3,555.5,9
4853263,18,M,1,517.0,504.1,568.0,550.7,22
4857572,16,F,1,515.0,474.4,326.2,524.4,13
4868896,21,M,1,518.0,501.0,533.2,536.8,17
4868918,26,M,1,516.0,426.9,472.4,510.6,5
4875642,18,F,1,517.0,439.5,501.5,522.3,7
4878672,37,M,1,518.0,617.2,654.0,603.9,24
4891323,21,M,1,516.0,623.5,605.9,583.2,16
4972939,21,F,1,518.0,422.6,432.5,370.9,7
4985432,24,M,1,518.0,441.1,459.6,549.4,8
4986815,19,M,1,516.0,575.5,497.4,591.7,13
4987299,18,M,2,515.0,504.2,519.5,490.7,11
4995472,19,F,1,515.0,584.1,579.7,570.4,11
4997474,19,F,1,516.0,429.8,481.9,488.5,7
4998395,18,F,1,515.0,364.2,493.6,499.5,11
5003145,34,F,1,517.0,368.2,454.0,492.4,5
5004800,28,M,1,517.0,504.4,0.0,0.0,13
5008717,22,M,1,518.0,538.2,410.4,528.0,11
5009372,23,F,1,516.0,550.3,568.2,583.9,10
5009899,36,F,1,517.0,443.7,430.7,514.2,6
